local_entropy,domain_entropy,digit_ratio,special_chars,local_length,domain_length,is_trusted_domain,is_suspicious_tld,has_dot,email,label
2.9477,1.585,0.2222,0,9,3,1,0,0,support95@gmx.de,normal
3.4183,2.1281,0.0,0,12,7,1,0,1,julia.becker@outlook.com,normal
2.2516,2.75,0.0,0,6,8,0,0,0,office@t-online.de,normal
3.5466,2.3219,0.0,0,13,5,1,0,1,thomas.wagner@gmail.com,normal
3.6169,2.75,0.1176,0,17,8,0,0,1,martin.freimuth30@t-online.de,normal
2.7255,2.75,0.2222,0,9,8,0,0,0,kontakt26@t-online.de,normal
2.9477,1.585,0.0,0,9,3,1,0,1,kim.jiwon@gmx.de,normal
3.3736,1.9219,0.0,0,15,5,1,0,1,martin.freimuth@yahoo.com,normal
1.9219,1.585,0.0,0,5,3,1,0,0,hello@gmx.de,normal
3.182,2.8074,0.0,0,14,7,1,0,1,max.mustermann@hotmail.com,normal
3.5069,2.8074,0.1333,0,15,7,1,0,1,sarah.schmidt13@hotmail.com,normal
3.182,2.3219,0.0,0,14,5,1,0,1,katharina.koch@gmail.com,normal
2.6464,2.585,0.0,0,10,6,1,0,1,ali.hassan@icloud.com,normal
3.5466,2.8074,0.0,0,13,7,1,0,1,thomas.wagner@hotmail.com,normal
2.3219,2.3219,0.2,0,5,5,1,0,0,info9@gmail.com,normal
2.2516,1.585,0.0,0,6,3,1,0,0,office@gmx.de,normal
3.5466,2.1281,0.0,0,13,7,1,0,1,thomas.wagner@outlook.com,normal
3.0221,2.8074,0.0,0,12,7,1,0,1,nguyen.thanh@hotmail.com,normal
3.1219,1.585,0.0,0,10,3,1,0,1,lisa.meyer@web.de,normal
2.2516,2.1281,0.0,0,6,7,1,0,0,office@outlook.com,normal
2.2359,2.75,0.0,0,7,8,0,0,0,kontakt@t-online.de,normal
3.6645,1.585,0.1429,0,14,3,1,0,1,julia.becker49@gmx.de,normal
2.5216,1.585,0.0,0,7,3,1,0,0,support@web.de,normal
2.2516,2.3219,0.0,0,6,5,1,0,0,office@gmail.com,normal
3.4183,2.8074,0.0,0,12,7,1,0,1,julia.becker@hotmail.com,normal
3.0221,1.585,0.0,0,12,3,1,0,1,nguyen.thanh@web.de,normal
2.0,2.8074,0.0,0,4,7,1,0,0,info@hotmail.com,normal
3.4183,2.585,0.0,0,12,6,1,0,1,peter.schulz@icloud.com,normal
2.5216,1.585,0.0,0,7,3,1,0,0,support@gmx.de,normal
3.182,2.75,0.0,0,14,8,0,0,1,max.mustermann@t-online.de,normal
3.1219,2.585,0.0,0,10,6,1,0,1,john.smith@icloud.com,normal
2.0,1.585,0.0,0,4,3,1,0,0,info@web.de,normal
3.182,2.1281,0.0,0,14,7,1,0,1,max.mustermann@outlook.com,normal
2.9183,1.9219,0.0,0,12,5,1,0,1,anna.mueller@yahoo.com,normal
2.7255,2.585,0.2222,0,9,6,1,0,0,support88@icloud.com,normal
