email,label,local_entropy,domain_entropy,digit_ratio,special_chars,local_length,domain_length,is_trusted_domain,is_suspicious_tld,has_dot,has_underscore,shortest_part,longest_part
martin_suzuki@example.com.au,normal,3.3927,2.5216,0.0,0,13,7,1,0,0,1,13,13
pierre.mwangi@example.org,normal,3.2389,2.5216,0.0,0,13,7,1,0,1,0,6,6
minh.petrov1981@example.it,normal,3.7736,2.5216,0.2667,0,15,7,1,0,1,0,4,10
ivan.robert1973@example.ru,normal,3.7736,2.5216,0.2667,0,15,7,1,0,1,0,4,10
chidi.janssen@example.net,normal,3.2389,2.5216,0.0,0,13,7,1,0,1,0,5,7
mikhail_gonzalez@example.org,normal,3.5,2.5216,0.0,0,16,7,1,0,0,1,16,16
antoniokariuki@example.fr,normal,2.8963,2.5216,0.0,0,14,7,1,0,0,0,14,14
adaeze.reyes@example.es,normal,2.7516,2.5216,0.0,0,12,7,1,0,1,0,5,6
kenjiodhiambo@example.com,normal,3.3927,2.5216,0.0,0,13,7,1,0,0,0,13,13
françois_morozov@example.com.br,normal,3.375,2.5216,0.0,0,16,7,1,0,0,1,16,16
mehmet_smit@example.com.br,normal,2.6635,2.5216,0.0,0,11,7,1,0,0,1,11,11
alejandraweber@test.com,normal,2.9852,1.5,0.0,0,14,4,1,0,0,0,14,14
jean_braun@example.org,normal,2.9219,2.5216,0.0,0,10,7,1,0,0,1,10,10
alejandra.kumar1986@example.net,normal,3.7216,2.5216,0.2105,0,19,7,1,0,1,0,9,9
kamau_eriksson@example.pl,normal,3.3788,2.5216,0.0,0,14,7,1,0,0,1,14,14
xb3n27m5p7e104@wwbs.loan,spam,3.6645,1.5,0.5714,0,14,4,0,1,0,0,14,14
hyunrossi@example.com.au,normal,2.9477,2.5216,0.0,0,9,7,1,0,0,0,9,9
zawaditurk1981@example.org,normal,3.5216,2.5216,0.2857,0,14,7,1,0,0,0,14,14
beatrizwilson@example.co.uk,normal,3.5466,2.5216,0.0,0,13,7,1,0,0,0,13,13
alejandrotanaka@example.it,normal,2.9996,2.5216,0.0,0,15,7,1,0,0,0,15,15
nguyen_morozov1995@example.es,normal,3.6835,2.5216,0.2222,0,18,7,1,0,0,1,18,18
aishatraore@example.es,normal,2.8454,2.5216,0.0,0,11,7,1,0,0,0,11,11
irissuzuki@example.net,normal,2.4464,2.5216,0.0,0,10,7,1,0,0,0,10,10
jean_mueller@example.co.jp,normal,3.0221,2.5216,0.0,0,12,7,1,0,0,1,12,12
pieter.nguyen@example.co.za,normal,3.1808,2.5216,0.0,0,13,7,1,0,1,0,6,6
giulia.gonzalez@example.it,normal,3.2402,2.5216,0.0,0,15,7,1,0,1,0,6,8
sven.gallo@test.com,normal,3.1219,1.5,0.0,0,10,4,1,0,1,0,4,5
3u1hbj6txfo6@0kqsosx4.site,spam,3.4183,2.75,0.3333,0,12,8,0,1,0,0,12,12
martin_diallo@example.es,normal,3.2389,2.5216,0.0,0,13,7,1,0,0,1,13,13
hiroshi.hoffmann@example.de,normal,3.2028,2.5216,0.0,0,16,7,1,0,1,0,7,8
kwamelaurent@example.it,normal,3.2516,2.5216,0.0,0,12,7,1,0,0,0,12,12
hiroshichen@example.pl,normal,2.8454,2.5216,0.0,0,11,7,1,0,0,0,11,11
budimorales@example.com,normal,3.4594,2.5216,0.0,0,11,7,1,0,0,0,11,11
27582a48d4e6e51@ws44.biz,spam,3.2402,1.5,0.7333,0,15,4,0,1,0,0,15,15
mei.joshi@example.org,normal,2.9477,2.5216,0.0,0,9,7,1,0,1,0,3,5
fernandoflores@example.fr,normal,3.0931,2.5216,0.0,0,14,7,1,0,0,0,14,14
amina.vargas@example.it,normal,2.9183,2.5216,0.0,0,12,7,1,0,1,0,5,6
kofigupta@example.pl,normal,3.1699,2.5216,0.0,0,9,7,1,0,0,0,9,9
ekaterina_mulder@example.fr,normal,3.4528,2.5216,0.0,0,16,7,1,0,0,1,16,16
maria.rodriguez1984@example.net,normal,3.7871,2.5216,0.2105,0,19,7,1,0,1,0,5,13
camille_park@example.co.za,normal,3.2516,2.5216,0.0,0,12,7,1,0,0,1,12,12
isabelleperez@example.com,normal,2.9312,2.5216,0.0,0,13,7,1,0,0,0,13,13
jan.yilmaz@example.co.za,normal,3.1219,2.5216,0.0,0,10,7,1,0,1,0,3,6
carlosvargas@test.com,normal,2.8554,1.5,0.0,0,12,4,1,0,0,0,12,12
elenasantos@example.co.za,normal,2.7322,2.5216,0.0,0,11,7,1,0,0,0,11,11
johnkuznetsov@example.es,normal,3.3927,2.5216,0.0,0,13,7,1,0,0,0,13,13
anne.janssen@example.org,normal,2.4183,2.5216,0.0,0,12,7,1,0,1,0,4,7
vikram_flores1983@example.co.za,normal,3.9698,2.5216,0.2353,0,17,7,1,0,0,1,17,17
wjOp1AwrQUz@ugur9u1oe5.xyz,spam,3.2776,2.8464,0.0909,0,11,10,0,1,0,0,11,11
vikramobi@example.net,normal,2.9477,2.5216,0.0,0,9,7,1,0,0,0,9,9
priyamwangi@example.org,normal,3.0958,2.5216,0.0,0,11,7,1,0,0,0,11,11
ayselindqvist@example.net,normal,3.3927,2.5216,0.0,0,13,7,1,0,0,0,13,13
freya.bakker@example.ru,normal,2.9183,2.5216,0.0,0,12,7,1,0,1,0,5,6
juliaverma@example.ru,normal,3.1219,2.5216,0.0,0,10,7,1,0,0,0,10,10
minh_russo@test.com,normal,3.1219,1.5,0.0,0,10,4,1,0,0,1,10,10
aurelie_visser@example.com.br,normal,3.0391,2.5216,0.0,0,14,7,1,0,0,1,14,14
john.smith@example.net,normal,3.1219,2.5216,0.0,0,10,7,1,0,1,0,4,5
vikramschulz@example.es,normal,3.585,2.5216,0.0,0,12,7,1,0,0,0,12,12
magnus_wang@example.pl,normal,2.914,2.5216,0.0,0,11,7,1,0,0,1,11,11
nicolaskuznetsov1998@test.com,normal,3.9219,1.5,0.2,0,20,4,1,0,0,0,20,20
nicolas_olsen@example.com.au,normal,3.0851,2.5216,0.0,0,13,7,1,0,0,1,13,13
vbhza7x73qxm0632c@jbck88d0.online,spam,3.7345,2.75,0.4118,0,17,8,0,1,0,0,17,17
omarmeijer@test.com,normal,2.7219,1.5,0.0,0,10,4,1,0,0,0,10,10
javier_castillo@example.ru,normal,3.5069,2.5216,0.0,0,15,7,1,0,0,1,15,15
fatuma.costa@example.fr,normal,3.0221,2.5216,0.0,0,12,7,1,0,1,0,5,6
rafael.odhiambo@example.co.jp,normal,3.4566,2.5216,0.0,0,15,7,1,0,1,0,6,8
pedro.smirnov@example.net,normal,3.3927,2.5216,0.0,0,13,7,1,0,1,0,5,7
miguel_martin@example.ru,normal,3.3927,2.5216,0.0,0,13,7,1,0,0,1,13,13
sven_traore1971@example.fr,normal,3.5069,2.5216,0.2667,0,15,7,1,0,0,1,15,15
julia_russo@example.com.br,normal,3.0958,2.5216,0.0,0,11,7,1,0,0,1,11,11
fatimaturk@example.com,normal,2.9219,2.5216,0.0,0,10,7,1,0,0,0,10,10
floor_kuznetsov@example.fr,normal,3.5899,2.5216,0.0,0,15,7,1,0,0,1,15,15
lies.hussein@example.pl,normal,2.8554,2.5216,0.0,0,12,7,1,0,1,0,4,7
lucakarim@example.pl,normal,2.9477,2.5216,0.0,0,9,7,1,0,0,0,9,9
diegoreyes1982@example.ru,normal,3.4677,2.5216,0.2857,0,14,7,1,0,0,0,14,14
alessiaobi@example.com,normal,2.7219,2.5216,0.0,0,10,7,1,0,0,0,10,10
melissanowak@example.net,normal,3.2516,2.5216,0.0,0,12,7,1,0,0,0,12,12
iris_salem@example.com.au,normal,2.9219,2.5216,0.0,0,10,7,1,0,0,1,10,10
y8u118qqvaecw9@z2omtzjko.loan,spam,3.3788,2.7255,0.3571,0,14,9,0,1,0,0,14,14
amina.smirnov@example.com,normal,3.0851,2.5216,0.0,0,13,7,1,0,1,0,5,7
floor_nowak@example.it,normal,3.0272,2.5216,0.0,0,11,7,1,0,0,1,11,11
hassanrobert@example.com.au,normal,3.085,2.5216,0.0,0,12,7,1,0,0,0,12,12
agnieszkaasante1976@example.com,normal,3.5111,2.5216,0.2105,0,19,7,1,0,0,0,19,19
aliberg@test.com,normal,2.8074,1.5,0.0,0,7,4,1,0,0,0,7,7
willemnovikov@example.co.jp,normal,3.0851,2.5216,0.0,0,13,7,1,0,0,0,13,13
nikolai_smit@example.es,normal,3.1887,2.5216,0.0,0,12,7,1,0,0,1,12,12
antonio_smith@example.fr,normal,3.0851,2.5216,0.0,0,13,7,1,0,0,1,13,13
fernando.pham@example.co.uk,normal,3.3927,2.5216,0.0,0,13,7,1,0,1,0,4,8
gabrielaomar@example.com.au,normal,3.0221,2.5216,0.0,0,12,7,1,0,0,0,12,12
pedrosingh@test.com,normal,3.3219,1.5,0.0,0,10,4,1,0,0,0,10,10
diegonilsson@example.it,normal,2.9183,2.5216,0.0,0,12,7,1,0,0,0,12,12
françoisnwosu@example.it,normal,3.2389,2.5216,0.0,0,13,7,1,0,0,0,13,13
alejandravargas@example.org,normal,2.9996,2.5216,0.0,0,15,7,1,0,0,0,15,15
valeria.nilsson@example.pl,normal,3.2402,2.5216,0.0,0,15,7,1,0,1,0,7,7
kwame.santoso@test.com,normal,3.2389,1.5,0.0,0,13,4,1,0,1,0,5,7
alessiabruno@example.de,normal,3.2516,2.5216,0.0,0,12,7,1,0,0,0,12,12
sophie.smit@example.it,normal,3.0958,2.5216,0.0,0,11,7,1,0,1,0,4,6
floortorres@example.it,normal,2.5949,2.5216,0.0,0,11,7,1,0,0,0,11,11
pieterlarsson@example.es,normal,3.2389,2.5216,0.0,0,13,7,1,0,0,0,13,13
robertopham@example.co.jp,normal,3.0958,2.5216,0.0,0,11,7,1,0,0,0,11,11
ali.santoso@example.com,normal,2.914,2.5216,0.0,0,11,7,1,0,1,0,3,7
annewijaya@example.co.jp,normal,2.6464,2.5216,0.0,0,10,7,1,0,0,0,10,10
solveigjoshi1994@example.net,normal,3.5,2.5216,0.25,0,16,7,1,0,0,0,16,16
alessia_chopra@example.com.br,normal,3.3249,2.5216,0.0,0,14,7,1,0,0,1,14,14
ahmadodhiambo@example.net,normal,2.7193,2.5216,0.0,0,13,7,1,0,0,0,13,13
nguyen.kowalczyk@example.es,normal,3.625,2.5216,0.0,0,16,7,1,0,1,0,6,9
Nm31nhNukrhW@8uyy.click,spam,3.2516,1.5,0.1667,0,12,4,0,1,0,0,12,12
carmen.patel@example.co.jp,normal,3.2516,2.5216,0.0,0,12,7,1,0,1,0,5,6
tundekumar@example.com,normal,3.1219,2.5216,0.0,0,10,7,1,0,0,0,10,10
wanjiru.mendoza@example.org,normal,3.6402,2.5216,0.0,0,15,7,1,0,1,0,7,7
sergeiwilson@example.co.jp,normal,3.085,2.5216,0.0,0,12,7,1,0,0,0,12,12
amara.petit1982@example.fr,normal,3.4566,2.5216,0.2667,0,15,7,1,0,1,0,5,9
emine_rossi@example.com.br,normal,2.914,2.5216,0.0,0,11,7,1,0,0,1,11,11
solveignwosu1989@example.fr,normal,3.625,2.5216,0.25,0,16,7,1,0,0,0,16,16
fatmaliu@example.es,normal,2.75,2.5216,0.0,0,8,7,1,0,0,0,8,8
katarzynavisser@example.es,normal,3.3232,2.5216,0.0,0,15,7,1,0,0,0,15,15
7sUYNTjlib9@juiiymyr.online,spam,3.4594,2.5,0.1818,0,11,8,0,1,0,0,11,11
davidsalem@example.net,normal,2.9219,2.5216,0.0,0,10,7,1,0,0,0,10,10
ibrahim_singh1996@example.it,normal,3.5725,2.5216,0.2353,0,17,7,1,0,0,1,17,17
rxhw@sijpyueon.top,spam,2.0,3.1699,0.0,0,4,9,0,1,0,0,4,4
yukitanaka@example.co.jp,normal,2.6464,2.5216,0.0,0,10,7,1,0,0,0,10,10
freya.hussein@example.es,normal,3.3927,2.5216,0.0,0,13,7,1,0,1,0,5,7
9212p@an0jb.info,spam,1.9219,2.3219,0.8,0,5,5,0,1,0,0,5,5
david.castillo@test.com,normal,3.2359,1.5,0.0,0,14,4,1,0,1,0,5,8
5pc@lzy1uu9ym.online,spam,1.585,2.7255,0.3333,0,3,9,0,1,0,0,3,3
7r1m264upj16d@5ogz2uea.top,spam,3.3927,3.0,0.5385,0,13,8,0,1,0,0,13,13
amitjesus@example.it,normal,2.9477,2.5216,0.0,0,9,7,1,0,0,0,9,9
amitmorozov@example.co.jp,normal,2.8454,2.5216,0.0,0,11,7,1,0,0,0,11,11
ingrid_yang@example.co.uk,normal,2.914,2.5216,0.0,0,11,7,1,0,0,1,11,11
priya_demir@example.com.br,normal,3.0958,2.5216,0.0,0,11,7,1,0,0,1,11,11
giovanni_li@example.es,normal,2.8454,2.5216,0.0,0,11,7,1,0,0,1,11,11
pieterde_boer@example.co.za,normal,2.9312,2.5216,0.0,0,13,7,1,0,0,1,13,13
zainab_kuznetsov@example.pl,normal,3.625,2.5216,0.0,0,16,7,1,0,0,1,16,16
valeriasanchez@example.org,normal,3.3249,2.5216,0.0,0,14,7,1,0,0,0,14,14
mwangi.martinez@example.pl,normal,3.3736,2.5216,0.0,0,15,7,1,0,1,0,6,8
sven_obi@example.org,normal,3.0,2.5216,0.0,0,8,7,1,0,0,1,8,8
tunde_mansour1981@example.com.au,normal,3.7345,2.5216,0.2353,0,17,7,1,0,0,1,17,17
tkcd0rlexdw6lqwlv@u38gl2zx.win,spam,3.5725,3.0,0.1176,0,17,8,0,1,0,0,17,17
7rm6j8y6rh05h@44m2e.xyz,spam,3.2389,1.9219,0.4615,0,13,5,0,1,0,0,13,13
pEQu8V@cxz2.click,spam,2.585,2.0,0.1667,0,6,4,0,1,0,0,6,6
zawadi_eze@example.fr,normal,2.7219,2.5216,0.0,0,10,7,1,0,0,1,10,10
chiara_reyes@example.fr,normal,3.085,2.5216,0.0,0,12,7,1,0,0,1,12,12
fatumafouad@example.co.za,normal,2.6635,2.5216,0.0,0,11,7,1,0,0,0,11,11
ktyr1k12v2tg5p@f0onj.work,spam,3.2359,2.3219,0.3571,0,14,5,0,1,0,0,14,14
ze4ex6u86zjq@w7jp.loan,spam,3.085,2.0,0.3333,0,12,4,0,1,0,0,12,12
alejandro.zhang@example.de,normal,3.4566,2.5216,0.0,0,15,7,1,0,1,0,5,9
amara_davis@example.it,normal,2.7322,2.5216,0.0,0,11,7,1,0,0,1,11,11
rahul_mutua@test.com,normal,2.8454,1.5,0.0,0,11,4,1,0,0,1,11,11
8aI8grbAKMSzA@xrgn7.work,spam,3.3927,2.3219,0.1538,0,13,5,0,1,0,0,13,13
iris.larsson@example.co.uk,normal,2.8554,2.5216,0.0,0,12,7,1,0,1,0,4,7
javiermehta@example.com.au,normal,3.0958,2.5216,0.0,0,11,7,1,0,0,0,11,11
alejandrameijer@example.net,normal,3.0062,2.5216,0.0,0,15,7,1,0,0,0,15,15
thanh_richard@example.org,normal,3.027,2.5216,0.0,0,13,7,1,0,0,1,13,13
dmitri.kumar@example.pl,normal,3.085,2.5216,0.0,0,12,7,1,0,1,0,5,6
dY20wPAh03ai@gmpw5d3go.info,spam,3.4183,2.9477,0.3333,0,12,9,0,1,0,0,12,12
aisha_novikov@example.org,normal,3.0851,2.5216,0.0,0,13,7,1,0,0,1,13,13
jamesromero@example.de,normal,2.7322,2.5216,0.0,0,11,7,1,0,0,0,11,11
ahmad.joshi@example.es,normal,3.0958,2.5216,0.0,0,11,7,1,0,1,0,5,5
basnilsson@example.es,normal,2.6464,2.5216,0.0,0,10,7,1,0,0,0,10,10
marco_jones@example.net,normal,3.2776,2.5216,0.0,0,11,7,1,0,0,1,11,11
anne.sahin@example.com.br,normal,2.6464,2.5216,0.0,0,10,7,1,0,1,0,4,5
stefan.novikov@example.org,normal,3.3788,2.5216,0.0,0,14,7,1,0,1,0,6,7
wojciech.nwosu@example.com.au,normal,3.3788,2.5216,0.0,0,14,7,1,0,1,0,5,8
zawadimueller@example.de,normal,3.2389,2.5216,0.0,0,13,7,1,0,0,0,13,13
sigrid_de_vries@example.com,normal,2.9232,2.5216,0.0,0,15,7,1,0,0,1,15,15
john.gitau@example.net,normal,3.3219,2.5216,0.0,0,10,7,1,0,1,0,4,5
yuki_rossi@example.co.uk,normal,2.9219,2.5216,0.0,0,10,7,1,0,0,1,10,10
